use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,71672.26207817056,68294.96181335034,47610.990628036925,62526.07150651928,10636.298462605653,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,70673.46047937925,67226.40286109087,46996.0013804361,61631.95490696874,10444.421263017797,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,70090.9394331572,67973.81148035107,47529.56058627915,61864.77049992914,10173.306251933536,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,44520.541082665215,53089.951584365896,38771.962533861755,45460.81840029763,5882.9864121396495,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,43483.756238004135,45437.7633280187,39232.86732856535,42718.12896486273,2590.3439195135857,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,44439.61463587221,47189.48202806123,41239.113442510934,44289.40336881479,2431.5487718104296,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,42107.8669030916,44424.965424259,37994.99706161929,41509.27646298996,2658.9291293517267,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,41518.773022807334,44983.06649158771,38126.43171950924,41542.7570779681,2799.260798329371,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,42054.76652347546,42787.90777347546,37787.06603468173,40876.580110544215,2205.0241029411623,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,39417.83170128766,68154.4499365282,38137.89647959184,48570.05937246923,13858.110113266666,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,43796.64014759474,54791.94477572279,37760.53350218658,45449.70614183471,7050.612875396883,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,41153.158985362,58303.02869563897,39392.865662506076,46283.017781169016,8529.75790721735,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,40131.726418397724,41667.87891915695,44371.38582391885,42056.99705382451,1752.567195240799,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,36017.519265822404,35195.679750364434,38631.647886449224,36614.94896754536,1464.959827531817,False,
False,True,True,linear,8,32,64,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,35381.731084487365,39593.66308810131,39370.053064109576,38115.14907889942,1934.973007535954,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,80952.52023855077,67443.27047360908,63273.698908224,70556.49654012795,7545.608582186224,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,81028.59435267858,67710.91876214772,62994.06457073009,70577.85922851879,7636.560169879449,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,80855.52459639213,67480.90260097789,63152.04481535471,70496.15733757491,7535.344271468437,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,62743.772652757536,58613.23953762755,54813.41170007288,58723.474630152654,3238.4945104872813,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,62015.209505891646,58647.52355184038,54340.39053176628,58334.37452983277,3141.046354734563,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,61993.51631514212,58501.254283284754,54291.34518282314,58262.03859375,3148.944600705836,False,
False,True,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,52060.13244533528,60477.95418701409,48417.18910866132,53651.75858033689,5050.773464465192,False,
