use_covariates,use_encoders,use_static_covariates,sample_weight,lags,lags_past_covariates,lags_future_covariates,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,subsample_freq,min_split_gain,max_bin,WIS,error_flag,error_msg
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0,0.5,1,0.0,1024,41002.35329703429,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0,1.0,1,0.0,1024,40965.91427053728,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0.5,0,1,0.0,1024,41257.4069692222,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0.5,0.5,1,0.0,1024,41324.26938052064,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,0.5,1.0,1,0.0,1024,41498.819289511746,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,1.0,0,1,0.0,1024,41355.08078497492,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,1.0,0.5,1,0.0,1024,41443.24753640178,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,5,0.8,0.8,1.0,1.0,1,0.0,1024,41600.80025210426,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0,0,1,0.0,1024,40597.175713758996,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0,0.5,1,0.0,1024,40359.3639036145,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0,1.0,1,0.0,1024,40526.8234522886,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0.5,0,1,0.0,1024,40487.185717997294,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0.5,0.5,1,0.0,1024,40478.213988080446,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,0.5,1.0,1,0.0,1024,40621.84376551664,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,1.0,0,1,0.0,1024,40630.44096268171,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,1.0,0.5,1,0.0,1024,40770.0618049519,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,10,0.8,0.8,1.0,1.0,1,0.0,1024,40653.18393968255,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0,0,1,0.0,1024,39813.71563090664,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0,0.5,1,0.0,1024,39929.67789213504,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0,1.0,1,0.0,1024,40049.85424524278,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0.5,0,1,0.0,1024,40308.239927223134,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0.5,0.5,1,0.0,1024,40421.26514325656,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,0.5,1.0,1,0.0,1024,40365.86857259385,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,1.0,0,1,0.0,1024,40701.06090166556,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,1.0,0.5,1,0.0,1024,40634.357345588505,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,500,20,0.8,0.8,1.0,1.0,1,0.0,1024,40670.48922632257,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,1000,5,0.8,0.8,0,0,1,0.0,1024,43007.77287230692,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,1000,5,0.8,0.8,0,0.5,1,0.0,1024,41242.90633151225,False,
True,True,False,linear,8,8,"(0, 1)",31,-1,0.01,1000,5,0.8,0.8,0,1.0,1,0.0,1024,41164.954454757775,False,
